adduser	3.134
ed	1.19-1
eject	2.38.1-5+deb12u3
ethtool	1:6.1-1
exfatprogs	1.2.0-1+deb12u1
fake-hwclock	0.12+nmu1
fakeroot	1.31-1.2
fbset	2.1-33
fdisk	2.38.1-5+deb12u3
ffmpeg	8:5.1.9-0+deb12u1+rpt1
file	1:5.44-3
findutils	4.9.0-4
firmware-atheros	1:20240709-2~bpo12+1+rpt4
firmware-brcm80211	1:20240709-2~bpo12+1+rpt4
firmware-libertas	1:20240709-2~bpo12+1+rpt4
firmware-mediatek	1:20240709-2~bpo12+1+rpt4
firmware-realtek	1:20240709-2~bpo12+1+rpt4
flashrom	1.3.0-2.1+rpt1
fontconfig	2.14.1-4
fontconfig-config	2.14.1-4
fonts-dejavu-core	2.37-6
fonts-ipafont-gothic	00303-23
fonts-ipafont-mincho	00303-23
fonts-lyx	2.3.7-1
fuse3	3.14.0-4
g++	4:12.2.0-3
g++-12	12.2.0-14+deb12u1
gcc	4:12.2.0-3
gcc-12	12.2.0-14+deb12u1
gcc-12-base:arm64	12.2.0-14+deb12u1
gcc-arm-none-eabi	15:12.2.rel1-1
gcc-avr	1:5.4.0+Atmel3.6.2-3
gdal-data	3.6.2+dfsg-1
gdal-plugins	3.6.2+dfsg-1+b2
gdb	13.1-3
gdisk	1.0.9-2.1
gettext-base	0.21-12
git	1:2.39.5-0+deb12u3
git-man	1:2.39.5-0+deb12u3
gnupg	2.2.40-1.1+deb12u2
gnupg-l10n	2.2.40-1.1+deb12u2
gnupg-utils	2.2.40-1.1+deb12u2
gpg	2.2.40-1.1+deb12u2
gpg-agent	2.2.40-1.1+deb12u2
gpg-wks-client	2.2.40-1.1+deb12u2
gpg-wks-server	2.2.40-1.1+deb12u2
gpgconf	2.2.40-1.1+deb12u2
gpgsm	2.2.40-1.1+deb12u2
gpgv	2.2.40-1.1+deb12u2
gpiod	1.6.3-1+b3
grep	3.8-5
groff-base	1.22.4-10
gsettings-desktop-schemas	43.0-1+rpt1
gstreamer1.0-plugins-base:arm64	1.22.0-3+rpt1+deb12u6
gtk-update-icon-cache	1:3.24.38-2~deb12u2+rpt7+rpi1
gzip	1.12-1
hicolor-icon-theme	0.17-2
hostname	3.23+nmu1
htop	3.2.2-2
i2c-tools	4.3-2+b3
ibverbs-providers:arm64	44.0-2
init	1.65.2+deb12u1
init-system-helpers	1.65.2+deb12u1
initramfs-tools	0.142+rpt4+deb12u3
initramfs-tools-core	0.142+rpt4+deb12u3
iproute2	6.1.0-3
iptables	1.8.9-2
iputils-ping	3:20221126-1+deb12u1
isc-dhcp-client	4.4.3-P1-2
isc-dhcp-common	4.4.3-P1-2
iso-codes	4.15.0-1
isympy-common	1.11.1-1
isympy3	1.11.1-1
iw	5.19-1
javascript-common	11+nmu1
kbd	2.5.1-1+b1
keyboard-configuration	1.221rpt1
keyutils	1.6.3-2
klibc-utils	2.0.12-1
kmod	30+20221128-1
kms++-utils	0~git20250807.1813ada-1~bookworm
less	590-2.1~deb12u2
libaacs0:arm64	0.11.1-2
libabsl20220623:arm64	20220623.1-1+deb12u2
libacl1:arm64	2.3.1-3
libaec0:arm64	1.0.6-1+b1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl:arm64	0.04-8+b1
libalgorithm-merge-perl	0.08-5
libaom3:arm64	3.6.0-1+deb12u2
libapparmor1:arm64	3.0.8-3
libappstream4:arm64	0.16.1-2+b1
libapt-pkg6.0:arm64	2.6.1
libarchive13:arm64	3.6.2-1+deb12u4
libargon2-1:arm64	0~20171227-0.3+deb12u1
libarmadillo11	1:11.4.2+dfsg-1
libarpack2:arm64	3.8.0-3
libasan8:arm64	12.2.0-14+deb12u1
libasound2:arm64	1.2.8-1+rpt1
libasound2-data	1.2.8-1+rpt1
libass9:arm64	1:0.17.1-1
libassuan0:arm64	2.5.5-5
libasyncns0:arm64	0.8-6+b3
libatasmart4:arm64	0.19-5
libatk-bridge2.0-0:arm64	2.50.0-1~bpo12+rpt1
libatk1.0-0:arm64	2.50.0-1~bpo12+rpt1
libatlas-base-dev:arm64	3.10.3-13
libatlas3-base:arm64	3.10.3-13
libatomic1:arm64	12.2.0-14+deb12u1
libatopology2:arm64	1.2.8-1+rpt1
libatspi2.0-0:arm64	2.50.0-1~bpo12+rpt1
libattr1:arm64	1:2.5.1-4
libaudit-common	1:3.0.9-1
libaudit1:arm64	1:3.0.9-1
libavahi-client3:arm64	0.8-10+deb12u1
libavahi-common-data:arm64	0.8-10+deb12u1
libavahi-common3:arm64	0.8-10+deb12u1
libavahi-core7:arm64	0.8-10+deb12u1
libavc1394-0:arm64	0.5.4-5
libavcodec-dev:arm64	8:5.1.9-0+deb12u1+rpt1
libavcodec59:arm64	8:5.1.9-0+deb12u1+rpt1
libavdevice59:arm64	8:5.1.9-0+deb12u1+rpt1
libavfilter8:arm64	8:5.1.9-0+deb12u1+rpt1
libavformat-dev:arm64	8:5.1.9-0+deb12u1+rpt1
libavformat59:arm64	8:5.1.9-0+deb12u1+rpt1
libavif15:arm64	0.11.1-1+deb12u1
libavutil-dev:arm64	8:5.1.9-0+deb12u1+rpt1
libavutil57:arm64	8:5.1.9-0+deb12u1+rpt1
libbabeltrace1:arm64	1.5.11-1+b2
libbasicusageenvironment1:arm64	2020.01.19-1+build1
libbasicusageenvironment2:arm64	2025.05.24-1~bpo12+1
libbdplus0:arm64	0.2.0-3
libbinutils:arm64	2.40-2
libblas3:arm64	3.11.0-2
libblkid1:arm64	2.38.1-5+deb12u3
libblockdev-crypto2:arm64	2.28-2+deb12u1
libblockdev-fs2:arm64	2.28-2+deb12u1
libblockdev-loop2:arm64	2.28-2+deb12u1
libblockdev-part-err2:arm64	2.28-2+deb12u1
libblockdev-part2:arm64	2.28-2+deb12u1
libblockdev-swap2:arm64	2.28-2+deb12u1
libblockdev-utils2:arm64	2.28-2+deb12u1
libblockdev2:arm64	2.28-2+deb12u1
libblosc1:arm64	1.21.3+ds-1
libbluetooth3:arm64	5.66-1+rpt1+deb12u2
libbluray2:arm64	1:1.3.4-1
libboost-dev:arm64	1.74.0.3
libboost-filesystem1.74.0:arm64	1.74.0+ds1-21
libboost-log1.74.0	1.74.0+ds1-21
libboost-program-options1.74.0:arm64	1.74.0+ds1-21
libboost-regex1.74.0:arm64	1.74.0+ds1-21
libboost-thread1.74.0:arm64	1.74.0+ds1-21
libboost1.74-dev:arm64	1.74.0+ds1-21
libbpf1:arm64	1:1.1.2-0+deb12u1
libbrotli1:arm64	1.0.9-2+b6
libbs2b0:arm64	3.1.0+dfsg-7
libbsd-dev:arm64	0.11.7-2
libbsd0:arm64	0.11.7-2
libbz2-1.0:arm64	1.0.8-5+b1
libc-bin	2.36-9+rpt2+deb12u14
libc-dev-bin	2.36-9+rpt2+deb12u14
libc-devtools	2.36-9+rpt2+deb12u14
libc-l10n	2.36-9+rpt2+deb12u14
libc6:arm64	2.36-9+rpt2+deb12u14
libc6-dbg:arm64	2.36-9+rpt2+deb12u14
libc6-dev:arm64	2.36-9+rpt2+deb12u14
libcaca0:arm64	0.99.beta20-3+deb12u1
libcairo-gobject2:arm64	1.16.0-7+rpt1
libcairo2:arm64	1.16.0-7+rpt1
libcamera-apps-lite	1.9.0-1~bpo12+1
libcamera-dev	0.5.2+rpt20250903-1~bpo12+1
libcamera-ipa:arm64	0.5.2+rpt20250903-1~bpo12+1
libcamera0.5:arm64	0.5.2+rpt20250903-1~bpo12+1
libcap-ng0:arm64	0.8.3-1+b3
libcap2:arm64	1:2.66-4+deb12u3+b1
libcap2-bin	1:2.66-4+deb12u3+b1
libcbor0.8:arm64	0.8.0-2+b1
libcc1-0:arm64	12.2.0-14+deb12u1
libcdio-cdda2:arm64	10.2+2.0.1-1
libcdio-paranoia2:arm64	10.2+2.0.1-1
libcdio19:arm64	2.1.0-4
libcdparanoia0:arm64	3.10.2+debian-14
libcfitsio10:arm64	4.2.0-3
libcharls2:arm64	2.4.1-1
libchromaprint1:arm64	1.5.1-2+b1
libcjson1:arm64	1.7.15-1+deb12u4
libcodec2-1.0:arm64	1.0.5-1
libcolord2:arm64	1.4.6-2.2
libcom-err2:arm64	1.47.0-2+b2
libcrypt-dev:arm64	1:4.4.33-2
libcrypt1:arm64	1:4.4.33-2
libcryptsetup12:arm64	2:2.6.1-4~deb12u2
libctf-nobfd0:arm64	2.40-2
libctf0:arm64	2.40-2
libcups2:arm64	2.4.2-3+deb12u9
libcurl3-gnutls:arm64	7.88.1-10+deb12u15
libcurl4:arm64	7.88.1-10+deb12u15
libdaemon0:arm64	0.14-7.1
libdatrie1:arm64	0.2.13-2+b1
libdav1d6:arm64	1.0.0-2+deb12u1
libdb5.3:arm64	5.3.28+dfsg2-1
libdbus-1-3:arm64	1.14.10-1~deb12u1
libdc1394-25:arm64	2.2.6-4
libdconf1:arm64	0.40.0-4
libde265-0:arm64	1.0.11-1+deb12u2
libdebconfclient0:arm64	0.270
libdebuginfod-common	0.188-2.1
libdebuginfod1:arm64	0.188-2.1
libdecor-0-0:arm64	0.1.1-2
libdecor-0-plugin-1-cairo:arm64	0.1.1-2
libdeflate0:arm64	1.14-1
libdevmapper1.02.1:arm64	2:1.02.185-2
libdouble-conversion3:arm64	3.2.1-1
libdpkg-perl	1.22.22~bpo12+rpt1
libdrm-amdgpu1:arm64	2.4.123-1~bpo12+1+rpt1
libdrm-common	2.4.123-1~bpo12+1+rpt1
libdrm-radeon1:arm64	2.4.123-1~bpo12+1+rpt1
libdrm2:arm64	2.4.123-1~bpo12+1+rpt1
libdtovl0:arm64	20251002-1~bookworm
libduktape207:arm64	2.7.0-2
libdvdread8:arm64	6.1.3-1
libdw1:arm64	0.188-2.1
libebml5:arm64	1.4.4-1+deb12u1
libedit2:arm64	3.1-20221030-2
libegl-mesa0:arm64	24.2.8-1~bpo12+rpt5
libegl1:arm64	1.6.0-1
libelf1:arm64	0.188-2.1
libepoxy0:arm64	1.5.10-1
liberror-perl	0.17029-2
libevdev2:arm64	1.13.0+dfsg-1
libevent-2.1-7:arm64	2.1.12-stable-8
libevent-core-2.1-7:arm64	2.1.12-stable-8
libevent-dev	2.1.12-stable-8
libevent-extra-2.1-7:arm64	2.1.12-stable-8
libevent-openssl-2.1-7:arm64	2.1.12-stable-8
libevent-pthreads-2.1-7:arm64	2.1.12-stable-8
libexif12:arm64	0.6.24-1+deb12u1
libexpat1:arm64	2.5.0-1+deb12u2
libexpat1-dev:arm64	2.5.0-1+deb12u2
libext2fs2:arm64	1.47.0-2+b2
libfabric1:arm64	1.17.0-3
libfakeroot:arm64	1.31-1.2
libfdisk1:arm64	2.38.1-5+deb12u3
libfdt1:arm64	1.6.1-4+b1
libffi-dev:arm64	3.4.4-1
libffi8:arm64	3.4.4-1
libfftw3-single3:arm64	3.3.10-1
libfido2-1:arm64	1.12.0-2+b1
libfile-fcntllock-perl	0.22-4+b1
libflac12:arm64	1.4.2+ds-2
libflite1:arm64	2.2-5
libfmt9:arm64	9.1.0+ds1-2
libfontconfig1:arm64	2.14.1-4
libfreetype6:arm64	2.12.1+dfsg-5+deb12u4
libfreexl1:arm64	1.0.6-2
libfribidi0:arm64	1.0.8-2.1
libftdi1:arm64	0.20-4+b1
libftdi1-2:arm64	1.5-6+b2
libfuse3-3:arm64	3.14.0-4
libfyba0:arm64	4.1.1-8
libgav1-1:arm64	0.18.0-1+b1
libgbm1:arm64	24.2.8-1~bpo12+rpt5
libgcc-12-dev:arm64	12.2.0-14+deb12u1
libgcc-s1:arm64	12.2.0-14+deb12u1
libgcrypt20:arm64	1.10.1-3+deb12u1
libgd3:arm64	2.3.3-9
libgdal32	3.6.2+dfsg-1+b2
libgdbm-compat4:arm64	1.23-3
libgdbm6:arm64	1.23-3
libgdcm3.0:arm64	3.0.21-1
libgdk-pixbuf-2.0-0:arm64	2.42.10+dfsg-1+deb12u4
libgdk-pixbuf2.0-bin	2.42.10+dfsg-1+deb12u4
libgdk-pixbuf2.0-common	2.42.10+dfsg-1+deb12u4
libgeos-c1v5:arm64	3.11.1-1
libgeos3.11.1:arm64	3.11.1-1
libgeotiff5:arm64	1.7.1-2+b1
libgfortran5:arm64	12.2.0-14+deb12u1
libgif7:arm64	5.2.1-2.5+deb12u1
libgl1:arm64	1.6.0-1
libgl1-mesa-dri:arm64	24.2.8-1~bpo12+rpt5
libgl2ps1.4	1.4.2+dfsg1-2
libglapi-mesa:arm64	24.2.8-1~bpo12+rpt5
libglew2.2:arm64	2.2.0-4+b1
libglib2.0-0:arm64	2.74.6-2+deb12u9
libglib2.0-bin	2.74.6-2+deb12u9
libglib2.0-data	2.74.6-2+deb12u9
libglvnd0:arm64	1.6.0-1
libglx-mesa0:arm64	24.2.8-1~bpo12+rpt5
libglx0:arm64	1.6.0-1
libgme0:arm64	0.6.3-6
libgmp10:arm64	2:6.2.1+dfsg1-1.1
libgnutls30:arm64	3.7.9-2+deb12u7
libgomp1:arm64	12.2.0-14+deb12u1
libgpg-error0:arm64	1.46-1
libgpgme11:arm64	1.18.0-3+b1
libgphoto2-6:arm64	2.5.30-1
libgphoto2-l10n	2.5.30-1
libgphoto2-port12:arm64	2.5.30-1
libgpiod-dev:arm64	1.6.3-1+b3
libgpiod2:arm64	1.6.3-1+b3
libgpiolib0:arm64	20251002-1~bookworm
libgpm2:arm64	1.20.7-10+b1
libgprofng0:arm64	2.40-2
libgraphite2-3:arm64	1.3.14-1+deb12u1
libgroupsock30:arm64	2025.05.24-1~bpo12+1
libgroupsock8:arm64	2020.01.19-1+build1
libgsm1:arm64	1.0.22-1
libgssapi-krb5-2:arm64	1.20.1-2+deb12u5
libgstreamer-plugins-base1.0-0:arm64	1.22.0-3+rpt1+deb12u6
libgstreamer1.0-0:arm64	1.22.0-2+deb12u1
libgtk-3-0:arm64	1:3.24.38-2~deb12u2+rpt7+rpi1
libgtk-3-bin	1:3.24.38-2~deb12u2+rpt7+rpi1
libgtk-3-common	1:3.24.38-2~deb12u2+rpt7+rpi1
libgudev-1.0-0:arm64	237-2
libharfbuzz0b:arm64	6.0.0+dfsg-3
libhdf4-0-alt	4.2.15-5
libhdf5-103-1:arm64	1.10.8+repack1-1
libhdf5-hl-100:arm64	1.10.8+repack1-1
libheif1:arm64	1.15.1-1+deb12u1
libhidapi-libusb0:arm64	0.13.1-1
libhogweed6:arm64	3.8.1-2
libhwasan0:arm64	12.2.0-14+deb12u1
libhwloc-plugins:arm64	2.9.0-1
libhwloc15:arm64	2.9.0-1
libhwy1:arm64	1.0.3-3+deb12u1
libi2c0:arm64	4.3-2+b3
libibverbs1:arm64	44.0-2
libice6:arm64	2:1.0.10-1
libicu72:arm64	72.1-3+deb12u1
libidn2-0:arm64	2.3.3-1+b1
libiec61883-0:arm64	1.2.0-6+b1
libimagequant0:arm64	2.17.0-1
libimath-3-1-29:arm64	3.1.6-1
libinput-bin	1.22.1-1+deb12u1
libinput10:arm64	1.22.1-1+deb12u1
libintl-perl	1.33-1
libintl-xs-perl	1.33-1
libip4tc2:arm64	1.8.9-2
libip6tc2:arm64	1.8.9-2
libisl23:arm64	0.25-1.1
libitm1:arm64	12.2.0-14+deb12u1
libiw30:arm64	30~pre9-14
libjack-jackd2-0:arm64	1.9.21~dfsg-3
libjansson4:arm64	2.14-2
libjaylink0:arm64	0.3.1-1
libjbig0:arm64	2.1-6.1
libjim0.81:arm64	0.81+dfsg0-2
libjpeg-dev:arm64	1:2.1.5-2
libjpeg62-turbo:arm64	1:2.1.5-2
libjpeg62-turbo-dev:arm64	1:2.1.5-2
libjs-jquery	3.6.1+dfsg+~3.5.14-1
libjs-jquery-ui	1.13.2+dfsg-1
libjs-sphinxdoc	5.3.0-4
libjs-underscore	1.13.4~dfsg+~1.11.4-3
libjson-c5:arm64	0.16-2
libjsoncpp25:arm64	1.9.5-4
libjxl0.7:arm64	0.7.0-10+deb12u1
libk5crypto3:arm64	1.20.1-2+deb12u5
libkeyutils1:arm64	1.6.3-2
libklibc:arm64	2.0.12-1
libkmlbase1:arm64	1.3.0-10
libkmldom1:arm64	1.3.0-10
libkmlengine1:arm64	1.3.0-10
libkmod2:arm64	30+20221128-1
libkms++0:arm64	0~git20250807.1813ada-1~bookworm
libkrb5-3:arm64	1.20.1-2+deb12u5
libkrb5support0:arm64	1.20.1-2+deb12u5
libksba8:arm64	1.6.3-2
liblapack3:arm64	3.11.0-2
liblbfgsb0:arm64	3.0+dfsg.4-1
liblcms2-2:arm64	2.14-2+deb12u1
libldap-2.5-0:arm64	2.5.13+dfsg-5
libldap-common	2.5.13+dfsg-5
liblept5:arm64	1.82.0-3+b3
liblerc4:arm64	4.0.0+ds-2
liblgpio1:arm64	0.2.2-1~rpt1
liblilv-0-0:arm64	0.24.14-1
liblinear4:arm64	2.3.0+dfsg-5
liblivemedia-dev:arm64	2025.05.24-1~bpo12+1
liblivemedia116:arm64	2025.05.24-1~bpo12+1
liblivemedia77:arm64	2020.01.19-1+build1
libllvm15:arm64	1:15.0.6-4+b1
liblocale-gettext-perl	1.07-5
liblsan0:arm64	12.2.0-14+deb12u1
libltdl7:arm64	2.4.7-7~deb12u1
liblttng-ust-common1:arm64	2.13.5-1
liblttng-ust-ctl5:arm64	2.13.5-1
liblttng-ust1:arm64	2.13.5-1
liblua5.3-0:arm64	5.3.6-2
libluajit-5.1-2:arm64	2.1.0~beta3+git20220320+dfsg-4.1+deb12u1
libluajit-5.1-common	2.1.0~beta3+git20220320+dfsg-4.1+deb12u1
liblz4-1:arm64	1.9.4-1
liblzma5:arm64	5.4.1-1+deb12u1
libmagic-mgc	1:5.44-3
libmagic1:arm64	1:5.44-3
libmariadb3:arm64	1:10.11.18-0+deb12u1
libmatroska7:arm64	1.7.1-1
libmbedcrypto7:arm64	2.28.3-1
libmbim-glib4:arm64	1.28.2-1
libmbim-proxy	1.28.2-1
libmbim-utils	1.28.2-1
libmd-dev:arm64	1.0.4-2
libmd0:arm64	1.0.4-2
libmd4c0:arm64	0.4.8-1
libminizip1:arm64	1.1-8+deb12u1
libmm-glib0:arm64	1.20.4-1
libmnl0:arm64	1.0.4-3
libmodule-find-perl	0.16-2
libmount1:arm64	2.38.1-5+deb12u3
libmp3lame0:arm64	3.100-6
libmpc3:arm64	1.3.1-1
libmpfr6:arm64	4.2.0-1
libmpg123-0:arm64	1.31.2-1+deb12u1
libmtdev1:arm64	1.1.6-1
libmtp-common	1.1.20-1
libmtp-runtime	1.1.20-1
libmtp9:arm64	1.1.20-1
libmunge2	0.5.15-2+deb12u1
libmysofa1:arm64	1.3.1~dfsg0-1
libncurses-dev:arm64	6.4-4
libncurses6:arm64	6.4-4
libncursesw6:arm64	6.4-4
libndp0:arm64	1.8-1+deb12u1
libnetcdf19:arm64	1:4.9.0-3+b1
libnetfilter-conntrack3:arm64	1.0.9-3
libnettle8:arm64	3.8.1-2
libnewlib-arm-none-eabi	3.3.0-1.3+deb12u1
libnewlib-dev	3.3.0-1.3+deb12u1
libnewt0.52:arm64	0.52.23-1+b1
libnfnetlink0:arm64	1.0.2-2
libnfsidmap1:arm64	1:2.6.2-4+deb12u1
libnftables1:arm64	1.0.6-2+deb12u2
libnftnl11:arm64	1.2.4-2
libnghttp2-14:arm64	1.52.0-1+deb12u3
libnl-3-200:arm64	3.7.0-0.2+b1
libnl-genl-3-200:arm64	3.7.0-0.2+b1
libnl-route-3-200:arm64	3.7.0-0.2+b1
libnm0:arm64	1.42.4-1+rpt1+deb12u1
libnorm1:arm64	1.5.9+dfsg-2
libnpth0:arm64	1.6-3
libnsl-dev:arm64	1.3.0-2
libnsl2:arm64	1.3.0-2
libnspr4:arm64	2:4.35-1
libnss-mdns:arm64	0.15.1-3
libnss3:arm64	2:3.87.1-1+deb12u3
libntfs-3g89:arm64	1:2022.10.3-1+deb12u3
libnuma1:arm64	2.0.18-1~rpt1
libodbc2:arm64	2.3.11-2+deb12u1
libodbcinst2:arm64	2.3.11-2+deb12u1
libogdi4.1	4.1.0+ds-6
libogg0:arm64	1.3.5-3
libopenal-data	1:1.19.1-2
libopenal1:arm64	1:1.19.1-2
libopenblas-dev:arm64	0.3.21+ds-4
libopenblas-pthread-dev:arm64	0.3.21+ds-4
libopenblas0:arm64	0.3.21+ds-4
libopenblas0-pthread:arm64	0.3.21+ds-4
libopencv-calib3d406:arm64	4.6.0+dfsg-12
libopencv-contrib406:arm64	4.6.0+dfsg-12
libopencv-core406:arm64	4.6.0+dfsg-12
libopencv-dnn406:arm64	4.6.0+dfsg-12
libopencv-features2d406:arm64	4.6.0+dfsg-12
libopencv-flann406:arm64	4.6.0+dfsg-12
libopencv-highgui406:arm64	4.6.0+dfsg-12
libopencv-imgcodecs406:arm64	4.6.0+dfsg-12
libopencv-imgproc406:arm64	4.6.0+dfsg-12
libopencv-ml406:arm64	4.6.0+dfsg-12
libopencv-objdetect406:arm64	4.6.0+dfsg-12
libopencv-photo406:arm64	4.6.0+dfsg-12
libopencv-shape406:arm64	4.6.0+dfsg-12
libopencv-stitching406:arm64	4.6.0+dfsg-12
libopencv-video406:arm64	4.6.0+dfsg-12
libopencv-videoio406:arm64	4.6.0+dfsg-12
libopencv-viz406:arm64	4.6.0+dfsg-12
libopenexr-3-1-30:arm64	3.1.5-5
libopengl0:arm64	1.6.0-1
libopenjp2-7:arm64	2.5.0-2+deb12u3
libopenmpi3:arm64	4.1.4-3+b1
libopenmpt0:arm64	0.6.9-1
libopus0:arm64	1.3.1-3
liborc-0.4-0:arm64	1:0.4.33-2
libossp-uuid16:arm64	1.6.2-1.5+b11
libp11-kit0:arm64	0.24.1-2
libpackagekit-glib2-18:arm64	1.2.6-5+deb12u1
libpam-chksshpwd:arm64	1.5.2-6+rpt2+deb12u1
libpam-modules:arm64	1.5.2-6+rpt2+deb12u1
libpam-modules-bin	1.5.2-6+rpt2+deb12u1
libpam-runtime	1.5.2-6+rpt2+deb12u1
libpam-systemd:arm64	252.39-1~deb12u2
libpam0g:arm64	1.5.2-6+rpt2+deb12u1
libpango-1.0-0:arm64	1.50.12+ds-1
libpangocairo-1.0-0:arm64	1.50.12+ds-1
libpangoft2-1.0-0:arm64	1.50.12+ds-1
libparted-fs-resize0:arm64	3.5-3
libparted2:arm64	3.5-3
libpcap0.8:arm64	1.10.3-1
libpci3:arm64	1:3.9.0-4
libpciaccess0:arm64	0.17-2
libpcre2-16-0:arm64	10.42-1
libpcre2-8-0:arm64	10.42-1
libpcre3:arm64	2:8.39-15
libpcsclite1:arm64	1.9.9-2
libperl5.36:arm64	5.36.0-7+deb12u3
libpgm-5.3-0:arm64	5.3.128~dfsg-2
libpigpio-dev	1.79-1+rpt1
libpigpio1	1.79-1+rpt1
libpigpiod-if-dev	1.79-1+rpt1
libpigpiod-if1	1.79-1+rpt1
libpigpiod-if2-1	1.79-1+rpt1
libpipeline1:arm64	1.5.7-1
libpisp-common	1.2.1-1
libpisp1:arm64	1.2.1-1
libpixman-1-0:arm64	0.44.0-3+rpt1
libpkgconf3:arm64	1.8.1-1
libplacebo208:arm64	4.208.0-3
libpmix2:arm64	4.2.2-1+deb12u1
libpng16-16:arm64	1.6.39-2+deb12u5
libpocketsphinx3:arm64	0.8+5prealpha+1-15
libpolkit-agent-1-0:arm64	122-3
libpolkit-gobject-1-0:arm64	122-3
libpoppler126:arm64	22.12.0-2+deb12u2
libpopt0:arm64	1.19+dfsg-1
libpostproc56:arm64	8:5.1.9-0+deb12u1+rpt1
libpq5:arm64	15.18-0+deb12u1
libproc-processtable-perl:arm64	0.634-1+b2
libproc2-0:arm64	2:4.0.2-3
libproj25:arm64	9.1.1-1+b1
libprotobuf32:arm64	3.21.12-3+deb12u1
libpsl5:arm64	0.21.2-1
libpugixml1v5:arm64	1.13-0.2
libpulse0:arm64	16.1+dfsg1-2+rpt1.1
libpython3-all-dev:arm64	3.11.2-1+b1
libpython3-dev:arm64	3.11.2-1+b1
libpython3-stdlib:arm64	3.11.2-1+b1
libpython3.11:arm64	3.11.2-6+deb12u8
libpython3.11-dev:arm64	3.11.2-6+deb12u8
libpython3.11-minimal:arm64	3.11.2-6+deb12u8
libpython3.11-stdlib:arm64	3.11.2-6+deb12u8
libqhull-r8.0:arm64	2020.2-5
libqmi-glib5:arm64	1.32.2-1
libqmi-proxy	1.32.2-1
libqmi-utils	1.32.2-1
libqrtr-glib0:arm64	1.2.2-1
libqt5core5a:arm64	5.15.8+dfsg-11+deb12u3
libqt5dbus5:arm64	5.15.8+dfsg-11+deb12u3
libqt5gui5:arm64	5.15.8+dfsg-11+deb12u3
libqt5network5:arm64	5.15.8+dfsg-11+deb12u3
libqt5opengl5:arm64	5.15.8+dfsg-11+deb12u3
libqt5qml5:arm64	5.15.8+dfsg-3
libqt5qmlmodels5:arm64	5.15.8+dfsg-3
